O usuário, soares, usou a calculadora as 2023-10-29T19:36:35.282446 e fez a operacao a seguir, sum, 2, 2 = 4
O usuário, alex, usou a calculadora as 23:17:25 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:17:27 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:17:28 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:17:29 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:17:29 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:17:29 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:17:30 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:17:30 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:18:34 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:18:40 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:18:41 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:18:41 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:18:41 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:18:42 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:18:42 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:18:42 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:18:42 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:18:42 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:18:43 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:18:43 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:18:43 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:20:03 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:21:30 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:21:38 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:21:39 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:21:40 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:21:40 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:21:40 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:21:40 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:21:40 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:21:40 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:21:40 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:21:40 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:21:40 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:21:40 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:21:40 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:21:40 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:21:40 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:21:40 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:21:40 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:21:40 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:21:40 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:21:40 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:21:40 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:21:40 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:21:40 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:21:41 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:21:41 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:21:41 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:21:41 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:21:41 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:21:41 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:21:41 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:21:41 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:21:41 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:21:41 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:21:41 e fez a operacao a seguir, sum, 8, 8 = 16
